Age,Income,Days,Holiday,Channel,Loyalty,Promo,Purchase
51,60947.0,23,0,Mobile,6.688978468216946,1,1
48,24639.0,9,0,Mobile,5.655961327084176,1,0
39,62586.0,5,0,Online,5.054080102260865,1,0
43,62319.0,17,0,Online,5.139605286386273,1,1
40,34751.0,9,0,Online,4.928660652239358,1,0
39,62492.0,6,0,In-Store,4.422531257176778,1,1
53,39104.0,25,0,Online,5.788803505928867,1,1
49,67535.0,15,0,Online,3.260123949055073,1,0
38,71899.0,37,0,Online,4.543243467933782,1,0
54,70539.0,45,0,In-Store,6.14380181138718,1,1
48,79784.0,14,0,Mobile,7.188481907675108,1,1
53,69387.0,11,0,Online,5.5678087322171494,1,1
51,75773.0,8,0,In-Store,7.070137545319588,1,1
37,85839.0,21,0,Online,5.123867388739342,1,1
39,51161.0,5,1,Online,4.185715625209278,1,1
52,57122.0,2,0,Online,6.133861892579969,1,1
51,52894.0,10,0,Mobile,6.36674402062677,1,1
45,45094.0,32,0,Mobile,5.699109354463576,1,0
46,54034.0,9,0,Mobile,5.717947738565671,1,0
58,76699.0,40,0,Mobile,5.360072006574022,1,1
39,74543.0,10,1,In-Store,5.293372344633263,1,1
50,26115.0,8,0,Online,3.8848583771496843,1,0
43,94309.0,11,1,In-Store,4.605769749608336,1,1
43,76941.0,19,0,In-Store,4.79144551162292,1,0
56,64552.0,15,0,Mobile,5.821197015337124,1,0
53,32376.0,3,1,Mobile,4.004892380692694,1,1
53,36293.0,12,0,Online,6.991487657525267,1,0
58,90060.0,14,0,Online,5.967370281814094,1,1
45,80090.0,11,0,Mobile,5.638184115110851,1,1
52,82573.0,24,0,Online,5.009004823259067,1,1
42,57348.0,5,0,Online,4.945922559633535,1,0
48,86132.0,8,0,Mobile,6.423196081431584,1,1
44,32608.0,51,0,Mobile,4.997468347725734,1,0
46,35332.0,20,1,Online,3.677481611320789,1,1
51,80173.0,3,0,Online,5.147686156603413,1,0
37,41648.0,52,0,Online,5.31063203264421,1,0
66,59202.0,10,0,Online,4.094293348752206,1,0
35,24501.0,0,0,Online,5.700050671857687,1,0
33,20000.0,27,0,In-Store,6.212056135803174,1,0
57,39568.0,13,0,In-Store,5.204079829188913,1,0
53,52424.0,16,1,Mobile,5.14342748023654,1,0
51,41503.0,7,0,Online,6.256832031448365,1,0
51,72409.0,5,0,In-Store,6.447017472512363,1,0
45,80218.0,17,0,Online,7.317227702314918,1,0
36,72202.0,43,0,Online,6.190783476436301,1,1
46,36869.0,21,0,Online,4.547257246998137,1,1
38,70495.0,7,0,Online,5.7979261238209965,1,1
55,35435.0,13,1,Online,5.441050898343423,1,0
44,97266.0,47,0,Online,6.756485944871113,1,1
37,60976.0,27,0,Mobile,5.413142916658486,1,1
42,42883.0,21,0,Online,4.598667211202254,1,1
49,61058.0,18,1,Online,4.737790326475269,1,1
39,63364.0,18,0,In-Store,6.588546178645162,1,1
37,74150.0,6,0,Online,4.696048672908773,1,1
47,22239.0,12,0,Online,4.783746256652388,1,0
47,46077.0,13,0,Online,7.435629515845288,1,1
40,69632.0,26,0,Online,5.982832187018855,1,1
40,75576.0,11,0,Online,5.586947516416625,1,0
47,125410.0,68,0,Online,5.772007974190757,1,1
31,87567.0,12,0,In-Store,7.062288838845105,1,1
31,46227.0,18,0,In-Store,5.852967229252513,1,1
38,95485.0,13,0,In-Store,4.819980649033727,1,1
43,71599.0,38,0,Online,6.988013779485289,1,1
48,87330.0,10,0,In-Store,6.463619372518936,1,1
60,69335.0,2,1,Online,5.5846543181987505,1,1
54,88742.0,9,0,In-Store,4.5613240531669526,1,1
43,81657.0,10,0,Online,6.42665942804386,1,1
45,71046.0,2,0,Online,3.441938726888497,1,1
35,51233.0,20,0,In-Store,6.512595602271023,1,1
45,51169.0,4,0,Online,4.247891654827755,1,0
42,41001.0,25,0,Mobile,5.707140647657128,1,0
48,58512.0,30,1,In-Store,4.800962639869161,1,1
37,82144.0,23,0,Online,5.7330019097607074,1,1
50,71621.0,12,1,Online,5.656087097259264,1,1
60,44498.0,23,0,In-Store,5.481195610670751,1,1
44,79362.0,14,1,Online,7.070420234466433,1,1
49,36479.0,14,0,Online,6.444042418392818,1,1
52,66649.0,5,0,Online,7.586574391540461,1,1
41,87897.0,22,0,In-Store,6.4398995723759285,1,1
47,36478.0,54,0,In-Store,4.554142401469783,1,0
45,63410.0,28,0,In-Store,5.555739444511865,1,1
46,46027.0,1,0,Online,4.701410401049817,1,0
37,92567.0,6,0,Online,6.314245430252359,1,1
45,104993.0,29,0,In-Store,5.420025825733827,1,1
50,71106.0,22,1,Online,5.904926563262644,1,1
60,77564.0,8,0,Online,6.139471761076323,1,1
55,87327.0,20,1,Online,5.995823752168697,1,0
67,75298.0,24,0,In-Store,6.339000769155063,1,1
37,43532.0,1,0,Online,3.470468480047769,1,0
54,51103.0,8,0,Online,5.044218428577785,1,1
47,50961.0,20,0,Online,5.095450977702294,1,1
67,25342.0,21,0,Mobile,6.362038933795306,1,0
37,79557.0,6,0,In-Store,5.611570074639687,1,0
37,34965.0,34,1,In-Store,6.72385934107338,1,1
39,76572.0,14,0,Online,5.628683391665288,1,1
24,45463.0,33,0,Online,4.749464935492976,1,0
40,55554.0,46,0,In-Store,5.830814557002715,1,0
37,71162.0,1,0,Online,5.334800700599413,1,1
47,90551.0,41,1,Online,5.774537633162933,1,1
48,77389.0,30,0,Mobile,6.728055127091009,1,1
64,57642.0,21,0,Online,5.84270183356541,1,0
55,59316.0,35,0,Mobile,5.624446085036202,1,0
39,36459.0,31,0,Online,6.932359199351028,1,0
36,72735.0,32,0,Online,4.669309244747437,1,1
50,58359.0,1,1,Online,5.816791213259498,1,1
32,41392.0,20,0,Online,5.443826084729916,1,0
63,75565.0,29,1,In-Store,4.531182438504063,1,1
57,88385.0,31,0,In-Store,6.692360326825565,1,0
40,56433.0,2,1,In-Store,5.665106561521591,1,1
28,48750.0,30,0,In-Store,6.2524066776107405,1,0
59,48436.0,26,0,Mobile,4.968754274442537,1,1
44,68033.0,26,0,In-Store,4.4335044154927985,1,0
57,36152.0,9,0,Online,3.6874072139119436,1,0
29,61510.0,6,0,Mobile,6.164751865000848,1,1
39,51880.0,9,0,Online,6.73737881542086,1,0
45,70109.0,9,0,Online,6.889782439779153,1,0
45,71637.0,26,0,Online,6.5822399885332095,1,1
40,37546.0,19,0,Mobile,6.484877774021968,1,1
51,73354.0,3,0,In-Store,5.9614622685257155,1,1
34,69155.0,17,0,Online,5.956568292591978,1,1
44,56188.0,21,0,Online,5.819245027529994,1,0
46,51390.0,18,0,Mobile,4.763935323770511,1,0
50,51505.0,19,0,Online,5.012781099501133,1,0
52,56577.0,24,0,Online,7.055161113411453,1,0
34,41374.0,43,0,In-Store,4.612808565323809,1,0
30,46313.0,41,1,Online,5.166991973223518,1,1
58,64087.0,22,0,In-Store,7.200277899629401,1,1
48,48569.0,12,0,Online,4.335541830987934,1,0
38,77563.0,35,0,Online,6.572247871001193,1,1
61,57374.0,4,0,In-Store,3.9178214849463773,1,1
46,50502.0,12,0,In-Store,4.7289034098946034,1,0
57,66630.0,45,0,Online,3.7267262023425283,1,1
46,51881.0,5,0,In-Store,6.445876452673334,1,1
66,44406.0,6,1,In-Store,4.440267129384416,1,1
63,53241.0,34,0,Online,4.202939193597654,1,1
43,20000.0,22,0,In-Store,5.32022930361514,1,0
55,20584.0,16,0,Online,3.147897852102943,1,0
51,41594.0,8,0,In-Store,5.088936998313582,1,1
59,36126.0,1,0,In-Store,6.027455828313291,1,0
35,73002.0,10,0,Online,6.627057792425546,1,1
52,85197.0,52,0,Online,5.675084672448428,1,1
56,66496.0,7,0,Online,4.727236128707267,1,1
27,22066.0,49,0,Online,5.123963548114312,1,0
33,31805.0,29,0,Online,5.792474654970891,1,0
25,67003.0,11,0,Online,7.470099938926324,1,1
42,56566.0,31,0,Mobile,7.058967484093012,1,0
52,22868.0,8,0,In-Store,3.9121328645459026,1,0
60,42853.0,30,0,In-Store,4.840504023199608,1,0
46,38504.0,24,0,Online,5.042782143846747,1,0
61,89140.0,7,0,Online,6.924278822976074,1,1
31,74106.0,5,0,Online,5.6016932765209155,1,0
28,54250.0,10,0,In-Store,5.634714918893377,1,0
44,64575.0,6,0,Online,5.036292605216613,1,1
49,62916.0,12,0,Online,5.972549390063602,1,0
45,61584.0,11,1,Online,3.9528666464457602,1,1
24,96533.0,22,0,In-Store,6.495741549788407,1,1
44,88176.0,2,1,Mobile,7.446118787816888,1,1
32,90498.0,4,0,Online,4.895421627851905,1,1
52,66616.0,13,0,Mobile,3.5852336790652095,1,1
49,53244.0,24,0,Online,4.97311414778622,1,0
36,35187.0,37,0,Mobile,5.692120066114373,1,0
40,40094.0,11,0,In-Store,5.344842343171979,1,1
34,80282.0,12,0,Online,6.269748654788847,1,0
44,34515.0,8,0,Online,5.07242303352911,1,0
55,56410.0,11,0,Mobile,6.29290819282187,1,1
35,32296.0,6,0,In-Store,5.056263696855714,1,0
50,58053.0,10,0,In-Store,5.60994641155704,1,0
40,38773.0,3,0,In-Store,5.611255534505114,1,0
37,73280.0,17,0,In-Store,5.850897084358564,1,0
44,55121.0,4,0,Mobile,5.165549692661715,1,0
35,43821.0,21,0,Online,5.322184409513519,1,0
39,40873.0,16,0,Online,5.3848143777044,1,0
33,62676.0,9,1,Mobile,4.757800274438231,1,1
65,61014.0,16,0,Online,6.52387359699305,1,1
45,48955.0,17,0,Online,5.063219531990921,1,0
38,53637.0,3,0,Online,6.122762479226646,1,1
47,50143.0,8,0,Online,5.407013698957139,1,0
44,20000.0,16,0,In-Store,5.167871671962087,1,0
43,59221.0,15,0,Mobile,6.109418796355623,1,1
51,28884.0,17,0,Mobile,4.941738622568284,1,0
53,42252.0,11,0,Mobile,5.519090297193084,1,0
40,66417.0,16,1,Online,4.948101885852898,1,1
39,55208.0,8,1,Online,5.222485605844164,1,1
42,90561.0,22,0,In-Store,6.4904031047325725,1,1
22,44054.0,3,0,Online,6.4208319589269,1,0
30,51776.0,12,0,In-Store,3.191623289423955,1,0
59,63245.0,24,0,Online,4.445854677121825,1,1
61,59257.0,65,0,Online,6.051550233516978,1,1
43,80953.0,17,0,In-Store,5.451955879872988,1,1
51,72802.0,10,1,Online,5.258830581423205,1,1
48,87764.0,35,1,Mobile,7.281710851392806,1,1
76,27685.0,23,1,In-Store,7.077177887049259,1,1
56,75725.0,9,0,Online,4.796081999537159,1,0
44,40373.0,8,0,In-Store,3.455413492359199,1,0
35,68892.0,30,0,Mobile,6.328428773218471,1,0
29,55124.0,14,0,Online,5.291028335183809,1,1
47,46226.0,31,0,Mobile,3.4071585644005467,1,0
37,83480.0,24,0,Online,5.676363074020966,1,1
31,26451.0,20,1,Online,6.721846398732071,1,0
39,96258.0,11,0,Mobile,4.670291481593941,1,0
34,72623.0,10,0,In-Store,6.6320902062235865,1,0
62,63382.0,27,0,Online,5.6061131929351475,1,1
54,57028.0,27,0,Mobile,6.450683871833641,1,0
45,52588.0,6,0,Online,5.236702194623778,1,0
60,69370.0,3,0,In-Store,5.04128708336645,1,1
46,32125.0,5,1,In-Store,4.994708317748064,1,0
36,20000.0,1,1,Online,5.466311893756728,1,0
60,61714.0,10,0,Online,4.2668280047666505,1,1
50,45082.0,14,1,Online,4.413863508551667,1,0
35,41679.0,1,0,In-Store,4.1644991054546505,1,0
43,28488.0,11,0,In-Store,4.392343507988709,1,0
36,84085.0,22,1,In-Store,6.2034298429453125,1,0
31,96412.0,14,0,Online,4.577613447871194,1,1
54,58965.0,13,0,Online,7.008131546538713,1,1
64,56887.0,16,0,Online,6.659981503470943,1,1
31,68463.0,29,0,Online,6.975915766487617,1,0
51,67268.0,2,1,Online,6.199249918499511,1,1
38,49596.0,13,0,Mobile,6.083381800684956,1,0
40,84259.0,8,0,Online,5.709661178472031,1,1
39,82647.0,9,0,In-Store,5.303237633555077,1,1
36,74858.0,29,0,Mobile,5.891245665712909,1,0
45,95562.0,20,0,Mobile,5.195072481763672,1,1
37,75486.0,6,0,Online,5.9563589227925196,1,1
48,46876.0,19,0,Online,5.609804363056579,1,0
44,61581.0,14,1,Online,6.325552196517406,1,1
43,78799.0,7,0,In-Store,5.188143139484754,1,1
